item,name,description,type,category,subcategory,label
http://www.wikidata.org/entity/Q252120,Ottoman poetry,oral compositions and written texts of the Ottoman Empire,concept,literature,poetry,cultural exclusive
http://www.wikidata.org/entity/Q1307909,ligne claire,drawing style,concept,visual arts,art movement,cultural agnostic
http://www.wikidata.org/entity/Q392409,freediving,underwater diving without the use of breathing apparatus,concept,sports,sport,cultural agnostic
http://www.wikidata.org/entity/Q24075,Godzilla,1998 film directed by Roland Emmerich,entity,films,film,cultural representative
http://www.wikidata.org/entity/Q461,Internet Archive,American non-profit organization,entity,history,archive,cultural exclusive
http://www.wikidata.org/entity/Q502899,outlier,area of younger rock completely surrounded by older rocks,concept,geography,mountain,cultural agnostic
http://www.wikidata.org/entity/Q133442,city-state,independent or autonomous entity whose territory consists of a city,concept,geography,city,cultural agnostic
http://www.wikidata.org/entity/Q25243,Betula,genus of plants,concept,biology,tree,cultural agnostic
http://www.wikidata.org/entity/Q352664,adat,customary law in Muslim regions,concept,gestures and habits,tradition,cultural agnostic
http://www.wikidata.org/entity/Q152311,naturism,movement for social nudity,concept,philosophy and religion,philosophical movement,cultural agnostic
http://www.wikidata.org/entity/Q42745,Rita Hayworth,American actress (1918–1987),entity,fashion,model,cultural representative
http://www.wikidata.org/entity/Q616358,Prairie School architecture,architectural style,entity,architecture,architectural style,cultural representative
http://www.wikidata.org/entity/Q390248,myth of origins,myth that purports to describe the origin of some feature of the natural or social world,concept,literature,literary genre,cultural agnostic
http://www.wikidata.org/entity/Q1807465,laufhaus,brothel where sex workers can rent rooms,concept,architecture,building,cultural agnostic
http://www.wikidata.org/entity/Q3080858,wagoto,style of kabuki acting,concept,films,acting style,cultural agnostic
http://www.wikidata.org/entity/Q125375,consecration,solemn dedication to a special purpose or service,concept,gestures and habits,ritual,cultural agnostic
http://www.wikidata.org/entity/Q140676,rediff.com,Indian news and entertainment website,entity,media,media company,cultural exclusive
http://www.wikidata.org/entity/Q1297719,French moralist,philosopher or theologian who works in moralism or morality,entity,philosophy and religion,philosopher,cultural exclusive
http://www.wikidata.org/entity/Q53121,cycling,"riding a bicycle (transportation, sport, exercise, recreation...)",concept,transportation,mode of transport,cultural agnostic
http://www.wikidata.org/entity/Q507220,DARPA Grand Challenge,prize competition for American autonomous vehicles,entity,sports,recurring sporting event,cultural representative
http://www.wikidata.org/entity/Q840584,Scouting for Boys,book,entity,books,book,cultural exclusive
http://www.wikidata.org/entity/Q847906,online magazine,"website-based magazine (different from E-zine, which is sent to the subscribers)",concept,media,magazine,cultural agnostic
http://www.wikidata.org/entity/Q178743,stele,stone or wooden slab erected for funerals or commemorative purposes,concept,history,monument,cultural exclusive
http://www.wikidata.org/entity/Q205543,American Football League All-Time Team,Official list of the American Football League's best players,entity,sports,sports team,cultural representative
http://www.wikidata.org/entity/Q334451,language policy,legal measures regarding the use of language,concept,politics,policy,cultural agnostic
http://www.wikidata.org/entity/Q43459,Ferdowsi,"Persian poet, author of Shahnameh",entity,literature,poet,cultural representative
http://www.wikidata.org/entity/Q1280834,Bible society,"non-profit organization, usually ecumenical in makeup, devoted to translating, publishing, and distributing the Bible",entity,literature,publisher,cultural exclusive
http://www.wikidata.org/entity/Q59281,transitional government,temporary or emergency government body/authority created when none exists,entity,politics,government,cultural exclusive
http://www.wikidata.org/entity/Q1192,Jean-Baptiste Lully,Italian-born French composer (1632–1687),entity,performing arts,choreographer,cultural representative
http://www.wikidata.org/entity/Q188116,Fourteenth Amendment to the United States Constitution,"1868 amendment addressing citizenship rights, civil and political liberties",entity,politics,law,cultural exclusive
http://www.wikidata.org/entity/Q6784637,Massie Wireless Station,"historic wireless telegraphy station in Rhode Island, USA",entity,architecture,construction,cultural exclusive
http://www.wikidata.org/entity/Q2519376,jewelry designer,one who creates jewelry or designs for its manufacture,concept,fashion,designer,cultural agnostic
http://www.wikidata.org/entity/Q66626,Hornussen,"village and former municipality in Böztal in the canton of Aargau, Switzerland",entity,geography,neighborhood,cultural exclusive
http://www.wikidata.org/entity/Q665982,Posca,Ancient Roman drink,concept,food,drink,cultural representative
http://www.wikidata.org/entity/Q546264,beat music,"popular music genre, influenced by rock and roll, skiffle, traditional pop music; developed in the UK early 1960s",concept,music,music genre,cultural representative
http://www.wikidata.org/entity/Q495488,forage fish,small fish which are preyed on by larger predators for food,concept,biology,fish,cultural agnostic
http://www.wikidata.org/entity/Q544972,trombonist,musician who plays the trombone,concept,music,musical profession,cultural agnostic
http://www.wikidata.org/entity/Q693791,koto,traditional dress of women in Suriname,concept,fashion,traditional costume,cultural exclusive
http://www.wikidata.org/entity/Q254118,Holocaust Museum LA,museum,entity,history,museum,cultural exclusive
http://www.wikidata.org/entity/Q19090,Robin Hood,1973 American animated film,entity,comics and anime,animated film,cultural representative
http://www.wikidata.org/entity/Q1584013,Yakshagana,traditional theatre form in India,entity,performing arts,theatrical genre,cultural exclusive
http://www.wikidata.org/entity/Q3275087,Hanaya Yohei,Japanese chef,entity,food,cook,cultural representative
http://www.wikidata.org/entity/Q53046,Carlo Verdone,"Italian actor, screenwriter and film director",entity,films,film director,cultural representative
http://www.wikidata.org/entity/Q767703,breakdancer,person who breakdances,concept,sports,athlete,cultural agnostic
http://www.wikidata.org/entity/Q93189,egg as food,edible animal product,concept,food,ingredient,cultural exclusive
http://www.wikidata.org/entity/Q259553,Urania,architectural structure in Vienna,entity,architecture,architectural structure,cultural exclusive
http://www.wikidata.org/entity/Q5276133,digital philosophy,direction in philosophy and cosmology advocated by certain mathematicians and theoretical physicists,entity,philosophy and religion,philosophy,cultural representative
http://www.wikidata.org/entity/Q239897,Joann Sfar,"French comics artist, graphic novelist, and film director",entity,comics and anime,comics artist,cultural representative
http://www.wikidata.org/entity/Q181283,adult comics,comic genre,concept,comics and anime,comics,cultural agnostic
http://www.wikidata.org/entity/Q219423,mural,piece of artwork painted or applied directly on a large permanent surface,concept,visual arts,painting,cultural agnostic
http://www.wikidata.org/entity/Q864380,biographer,person who creates biographies,concept,books,non-fiction writer,cultural agnostic
http://www.wikidata.org/entity/Q2283231,Light-Life,renewal movement within the Catholic Church,entity,philosophy and religion,religious movement,cultural exclusive
http://www.wikidata.org/entity/Q183945,record producer,individual who oversees and manages the recording of an artist's music,concept,music,musician,cultural representative
http://www.wikidata.org/entity/Q60233168,political historian,person who is engaged in political history,concept,history,historian,cultural exclusive
http://www.wikidata.org/entity/Q197069,Zexcs,Japanese animation studio,entity,comics and anime,animation studio,cultural representative
http://www.wikidata.org/entity/Q670265,Eisteddfod,"type of Welsh festival of literature, music and performance",concept,music,music festival,cultural exclusive
http://www.wikidata.org/entity/Q15964235,Emmenbrücke Kapf railway station,railway station in Switzerland,entity,transportation,station,cultural exclusive
http://www.wikidata.org/entity/Q63036,Eduard Oscar Schmidt,German zoologist (1823–1886),entity,biology,biologist,cultural exclusive
http://www.wikidata.org/entity/Q225907,professional revolutionary,follower of the Communist movement who engages professionally in subversive or revolutionary (depending on viewpoint) activities,concept,politics,politician,cultural agnostic
http://www.wikidata.org/entity/Q794428,entrenched river,term,concept,geography,river,cultural agnostic
http://www.wikidata.org/entity/Q874265,Stump sock,cloth accessory for amputation stumps,concept,fashion,clothing,cultural agnostic
http://www.wikidata.org/entity/Q183308,New Age,spiritual or religious beliefs and practices that developed in Western nations during the 1970s,entity,philosophy and religion,religion,cultural exclusive
http://www.wikidata.org/entity/Q11046554,tapu,Polynesian traditional concept denoting something holy or sacred,concept,gestures and habits,mores,cultural exclusive
http://www.wikidata.org/entity/Q4835874,BLUF,writing style that places key information at the beginning,entity,literature,writing style,cultural exclusive
http://www.wikidata.org/entity/Q3565221,Wakanim,European anime streaming service,concept,media,streaming service,cultural agnostic
http://www.wikidata.org/entity/Q25326,Mollusca,large phylum of invertebrate animals,concept,biology,animal,cultural agnostic
http://www.wikidata.org/entity/Q766570,Political parties in Russia,Wikimedia list article,concept,politics,political party,cultural agnostic
http://www.wikidata.org/entity/Q3015646,Australian dance,aspect of Australian culture,concept,performing arts,dance,cultural exclusive
http://www.wikidata.org/entity/Q49112,Yale University,"private university in New Haven, Connecticut",entity,media,production company,cultural exclusive
http://www.wikidata.org/entity/Q895818,boy player,Adolescent males employed by Medieval and Renaissance theater companies,entity,performing arts,actor,cultural representative
http://www.wikidata.org/entity/Q6415061,jajim,type of flat-woven textile from Iran,concept,fashion,textile,cultural agnostic
http://www.wikidata.org/entity/Q1352102,Free Cinema,British documentary film movement,entity,films,film genre,cultural representative
http://www.wikidata.org/entity/Q579021,perfumer,expert on creating perfume compositions,concept,visual arts,artist,cultural agnostic
http://www.wikidata.org/entity/Q473743,environmental art,genre of art engaging nature and ecology,concept,visual arts,visual arts,cultural agnostic
http://www.wikidata.org/entity/Q824592,Berner Platte,bernese traditional meat dish,entity,food,dish,cultural representative
http://www.wikidata.org/entity/Q264980,Equal Vision Records,American record label,entity,music,record label,cultural exclusive
http://www.wikidata.org/entity/Q596428,Kia ora,Māori-language greeting,concept,gestures and habits,greeting,cultural agnostic
http://www.wikidata.org/entity/Q49845,mail,system for transporting documents and other small packages,concept,transportation,transport,cultural exclusive
http://www.wikidata.org/entity/Q10957,Lumière Festival,"annual film festival held in Lyon, France",entity,films,film festival,cultural representative
http://www.wikidata.org/entity/Q59182,Wikov,Czech automobile manufacturer,entity,transportation,automobile manufacturer,cultural exclusive
http://www.wikidata.org/entity/Q3621561,starchitect,portmanteau used to describe a famous architect,entity,architecture,architect,cultural exclusive
http://www.wikidata.org/entity/Q5503619,fried eggplant,Turkish cuisine dish,concept,food,food,cultural exclusive
http://www.wikidata.org/entity/Q5300093,double steaming,Chinese cooking technique to prepare delicate food such as bird's nest soup,concept,food,cooking technique,cultural representative
http://www.wikidata.org/entity/Q478804,children's anime and manga,anime and manga for children,concept,comics and anime,manga,cultural representative
http://www.wikidata.org/entity/Q119906,parallax scrolling,"computer graphics technique, where background images move past the camera more slowly than foreground images, creating an illusion of depth in a 2D scene and adding to the sense of immersion in the virtual experience",concept,comics and anime,animation technique,cultural agnostic
http://www.wikidata.org/entity/Q1466283,Sizewell nuclear power stations,nuclear power plant,entity,geography,geographic location,cultural exclusive
http://www.wikidata.org/entity/Q44475,spear,"weapon or tool consisting of a shaft, usually of wood, with a pointed head that is used for thrusting or throwing",concept,sports,sports equipment,cultural agnostic
http://www.wikidata.org/entity/Q42,Douglas Adams,English science fiction writer and humorist (1952–2001),entity,literature,writer,cultural representative
http://www.wikidata.org/entity/Q150066,Pinacoteca di Brera,"art museum in Milan, Italy",entity,visual arts,art gallery,cultural exclusive
http://www.wikidata.org/entity/Q30314702,body language of dogs,a dogs movements and feelings,concept,gestures and habits,body language,cultural agnostic
http://www.wikidata.org/entity/Q64718,Victor Hasselblad,Swedish photographer and inventor (1906–1978),entity,visual arts,photographer,cultural representative
http://www.wikidata.org/entity/Q1469093,Rodrigo y Gabriela,Mexican guitar duo,entity,music,musical group,cultural representative
http://www.wikidata.org/entity/Q4671452,terrestrial plant,plant that lives on land,concept,biology,plant,cultural agnostic
http://www.wikidata.org/entity/Q4986688,built environment,environment created by humans,concept,geography,environment,cultural agnostic
http://www.wikidata.org/entity/Q78639,Max Reinhardt,theatre director and actor (1873-1943),entity,performing arts,theatrical director,cultural exclusive
http://www.wikidata.org/entity/Q329385,schottische,"partnered country dance derived from polka, of continental European origin",concept,performing arts,folk dance,cultural exclusive
http://www.wikidata.org/entity/Q267050,Mano,Filipino gesture,entity,gestures and habits,gesture,cultural agnostic
http://www.wikidata.org/entity/Q242256,closed-circuit television,use of video cameras to transmit a signal to a specific place on a limited set of monitors,concept,media,television,cultural agnostic
http://www.wikidata.org/entity/Q647584,flashing,construction material used to prevent the passage of water around objects,concept,architecture,building material,cultural agnostic
http://www.wikidata.org/entity/Q2088225,Laugh-O-Gram Studio,animation studio founded by Walt Disney in 1922,entity,media,film studio,cultural exclusive
http://www.wikidata.org/entity/Q366922,TEC,"operator for public transport in Wallonia, Belgium",entity,transportation,transport company,cultural exclusive
http://www.wikidata.org/entity/Q28966228,lightning rod fashion,Fashion accessories using lightning rods,concept,fashion,fashion trend,cultural agnostic
http://www.wikidata.org/entity/Q55207,Nikita Mikhalkov,"Russian film director, writer, producer and actor",entity,films,film producer,cultural representative
http://www.wikidata.org/entity/Q2635310,Mrkonjić Grad incident,1995 shoot-down during the Bosnian War,entity,history,historical event,cultural exclusive
http://www.wikidata.org/entity/Q172748,antipope,"person who claims to be, but is not recognized as, the legitimate pope",concept,philosophy and religion,religious leader,cultural exclusive
http://www.wikidata.org/entity/Q16320,Club Atlético Peñarol,Uruguayan sports club,entity,sports,sports club,cultural exclusive
http://www.wikidata.org/entity/Q597935,Communications Security Establishment Canada,Canada's national cryptologic agency,concept,politics,government agency,cultural exclusive
http://www.wikidata.org/entity/Q294238,BookSpot Literatuurprijs,series of former annual Dutch literary awards sponsored by Bookspot (2018 and 2019). Prolongation of the ECI Literatuur Prijs (2015-2017) because the sponsor changed its name from ECI to BooksSpot in March 2018,entity,literature,literary award,cultural exclusive
http://www.wikidata.org/entity/Q1409680,H. N. Jacobsens Bókahandil,oldest bookshop in the Faroe Islands,entity,books,bookstore,cultural exclusive
http://www.wikidata.org/entity/Q25367,plankton,organisms that are in the water column and are incapable of swimming against current,concept,biology,organism,cultural agnostic
http://www.wikidata.org/entity/Q288909,Urdu poetry,tradition of poetry,concept,literature,poetry,cultural exclusive
